,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
90,kaseda,68,68,94,75,9.17,31.42,130.32,JP,1571882381
91,kodiak,51.73,54,71,1,6.93,39.95,-94.76,US,1571882382
92,cape town,59,59,54,33,6.93,-36.41,-71.9,CL,1571882383
93,jamestown,93.13,93.13,6,0,16.93,-33.21,138.6,AU,1571882282
94,bonavista,45,45,82,0,8.99,48.65,-53.11,CA,1571882384
95,udomlya,42.73,42.73,97,100,4.63,57.88,35,RU,1571882385
96,shihezi,41.61,41.61,23,0,4.21,44.3,86.03,CN,1571882385
97,thompson,26.6,26.6,63,20,5.82,55.74,-97.86,CA,1571882386
98,crab hill,51.75,55,100,1,0.51,37.27,-76.49,US,1571882387
99,goderich,47.84,54,76,36,10,43.74,-81.71,CA,1571882388
101,saint-philippe,50.58,53.01,71,90,12.75,45.36,-73.48,CA,1571882389
102,chuy,54.43,54.43,90,0,4.12,-33.69,-53.46,UY,1571882390
103,pozo colorado,77,77,83,20,4.7,22.45,-80.18,CU,1571882390
104,taungdwingyi,84.13,84.13,74,0,4.05,20,95.55,MM,1571882391
105,seoul,65.66,66.2,63,0,3.36,37.57,126.98,KR,1571882261
106,taoudenni,83.68,83.68,31,87,6.85,22.68,-3.98,ML,1571882393
107,kapaa,81.63,84.2,74,20,10.29,22.08,-159.32,US,1571882343
109,conde,78.62,78.62,83,36,19.37,-11.81,-37.61,BR,1571882395
110,salisbury,52,54,93,100,4.7,51.07,-1.8,GB,1571882395
111,havre-saint-pierre,44.6,44.6,93,90,16.11,50.23,-63.6,CA,1571882396
115,busselton,64.49,66,33,0,12.59,-33.64,115.35,AU,1571882399
116,souillac,53.73,57,93,19,4.7,45.6,-0.6,FR,1571882400
117,west plains,73,77,53,40,14.99,31.8,-97.09,US,1571882401
118,russell,52.07,54,40,75,6.93,38.9,-98.86,US,1571882194
119,djenne,83.68,83.68,51,43,6.06,13.91,-4.55,ML,1571882404
120,poso,78.08,78.08,59,50,4.14,-1.4,120.75,ID,1571882405
121,khakhea,61.68,61.68,16,0,9.15,-24.69,23.5,BW,1571882409
122,karpogory,34.23,34.23,98,100,2.8,64,44.44,RU,1571882410
